Cluster_number,MA_IDs_included,TF_names_included,Representative_MA_ID,n_members
28,MA0141.1;MA0141.2;MA0505.1;MA0592.1;MA0643.1;MA0141.3;MA0592.2;MA1540.1;MA1541.1;MA0592.3;MA0505.2;MA1540.2;MA0592.4;MA0141.4;MA0643.2;MA1541.2;MA1540.3;MA0505.3,Esrrb;Esrrb;Nr5a2;ESRRA;Esrrg;ESRRB;Esrra;NR5A1;NR6A1;ESRRA;Nr5A2;NR5A1;ESRRA;ESRRB;Esrrg;NR6A1;Nr5a1;Nr5a2,MA0643.2,18
29,MA0152.1;MA0606.1;MA0624.1;MA0625.1;MA1525.1;MA1608.1;MA0095.3;MA0152.2;MA0606.2;MA0624.2;MA0625.2;MA1525.2;MA0606.3;MA0624.3;MA0152.3;MA0625.3;MA1525.3,NFATC2;NFAT5;NFATC1;NFATC3;NFATC4;Isl1;Yy1;Nfatc2;Nfat5;Nfatc1;NFATC3;NFATC4;Nfat5;Nfatc1;Nfatc2;NFATC3;NFATC4,MA0152.1,17
30,MA1931.1;MA1932.1;MA1937.1;MA1940.1;MA1944.1;MA1948.1;MA1949.1;MA1957.1;MA1958.1;MA1932.2;MA1937.2;MA1940.2;MA1944.2;MA1948.2;MA1949.2;MA1958.2;MA2540.1,ELK1::HOXA1;ELK1::HOXB13;ERF::HOXB13;ETV2::DRGX;ETV5::DRGX;ETV5::HOXA2;FLI1::DRGX;HOXB2::ELK1;HOXD12::ELK1;ELK1::HOXB13;ERF::HOXB13;ETV2::DRGX;ETV5::DRGX;ETV5::HOXA2;FLI1::DRGX;HOXD12::ELK1;SP140L,MA1937.1,17
31,MA0150.1;MA0501.1;MA0150.2;MA0591.1;MA1101.1;MA1633.1;MA1726.1;MA0496.3;MA0659.3;MA0591.2;MA0496.4;MA0501.2;MA0659.4;MA0150.3;MA1726.2;MA0089.2;MA0089.3,NFE2L2;MAF::NFE2;Nfe2l2;Bach1::Mafk;BACH2;BACH1;ZNF331;MAFK;Mafg;Bach1::Mafk;MAFK;MAF::NFE2;Mafg;Nfe2l2;ZNF331;MAFG::NRF1;MAFG::NRF1,MA1633.1,17
32,MA0106.1;MA0464.1;MA0525.1;MA0106.2;MA0525.2;MA0106.3;MA0861.1;MA1108.2;MA1108.3;MA0861.2;MA2559.1;MA2584.1;MA2592.1;MA2678.1;MA2679.1;MA2680.1,TP53;Bhlhe40;TP63;TP53;TP63;TP53;TP73;MXI1;MXI1;TP73;NACC2;DNTTIP1;MKX;IRX1;IRX2;IRX5,MA0861.2,16
33,MA0665.1;MA0832.1;MA1467.1;MA1472.1;MA1485.1;MA1619.1;MA1641.1;MA1993.1;MA1997.1;MA0521.2;MA0633.2;MA1472.2;MA1472.3;MA1641.2;MA1619.2;MA0832.2,MSC;Tcf21;ATOH1;BHLHA15;FERD3L;Ptf1A;MYF5;Neurod2;Olig2;Tcf12;Twist2;Bhlha15;Bhlha15;MYF5;Ptf1A;Tcf21,MA0521.2,16
34,MA0046.1;MA0153.1;MA0046.2;MA0153.2;MA0683.1;MA0722.1;MA0790.1;MA0791.1;MA0880.1;MA0902.1;MA0910.1;MA1507.1;MA0046.3;MA0790.2;MA0683.2;MA0791.2,HNF1A;HNF1B;HNF1A;HNF1B;POU4F2;VAX1;POU4F1;POU4F3;Dlx3;HOXB2;Hoxd8;HOXD4;HNF1A;POU4F1;POU4F2;POU4F3,MA0722.1,16
35,MA0694.1;MA0695.1;MA0734.1;MA0737.1;MA0750.1;MA1491.1;MA0734.2;MA1990.1;MA0734.3;MA1491.2;MA1990.2;MA0734.4;MA1491.3;MA0694.2;MA0695.2;MA0695.3,ZBTB7B;ZBTB7C;GLI2;GLIS3;ZBTB7A;GLI3;GLI2;Gli1;Gli2;GLI3;Gli1;Gli2;GLI3;ZBTB7B;ZBTB7C;ZBTB7C,MA0695.2,16
36,MA0039.2;MA0493.1;MA0657.1;MA0742.1;MA0039.3;MA1511.1;MA1512.1;MA1515.1;MA1516.1;MA1517.1;MA0079.4;MA0657.2;MA1515.2;MA1516.2;MA1517.2;MA1959.2,Klf4;Klf1;KLF13;Klf12;KLF4;KLF10;KLF11;KLF2;KLF3;KLF6;SP1;KLF13;KLF2;KLF3;KLF6;KLF7,MA0742.1,16
37,MA0500.1;MA0521.1;MA0048.2;MA0816.1;MA1100.1;MA1100.2;MA1721.1;MA1635.1;MA0500.2;MA1938.1;MA1100.3;MA1938.2;MA0048.3;MA0500.3;MA1721.2;MA2581.1,Myog;Tcf12;NHLH1;Ascl2;ASCL1;ASCL1;ZNF93;BHLHE22;MYOG;ERF::NHLH1;ASCL1;ERF::NHLH1;NHLH1;MYOG;ZNF93;ZNF66,MA1938.2,16
38,MA0102.1;MA0102.2;MA0466.1;MA0102.3;MA0466.2;MA0836.1;MA0837.1;MA0838.1;MA0102.4;MA0836.2;MA0466.3;MA0837.2;MA0102.5;MA0466.4;MA0836.3;MA0837.3,Cebpa;CEBPA;CEBPB;CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;CEBPA;CEBPD;CEBPB;CEBPE;CEBPA;CEBPB;CEBPD;CEBPE,MA0102.3,16
39,MA0122.1;MA0672.1;MA0673.1;MA0122.2;MA0124.2;MA0122.3;MA0063.2;MA1994.1;MA2003.1;MA2336.1;MA0914.2;MA0672.2;MA2003.2;MA0124.3;MA0122.4;MA2598.1,Nkx3-2;NKX2-3;NKX2-8;NKX3-2;Nkx3-1;Nkx3-2;NKX2-5;Nkx2-1;NKX2-4;ZSCAN21;ISL2;NKX2-3;NKX2-4;Nkx3-1;Nkx3-2;MSANTD1,MA2336.1,16
40,MA0509.1;MA0510.1;MA0600.1;MA0600.2;MA0798.1;MA0799.1;MA0510.2;MA1554.1;MA1724.1;MA0509.2;MA0798.2;MA0509.3;MA0798.3;MA0600.3;MA0510.3;MA1554.2,Rfx1;RFX5;RFX2;RFX2;RFX3;RFX4;RFX5;RFX7;Rfx6;RFX1;RFX3;RFX1;RFX3;RFX2;RFX5;RFX7,MA0509.3,16
41,MA0063.1;MA0896.1;MA0897.1;MA0898.1;MA0914.1;MA1983.1;MA0879.2;MA0885.2;MA1476.2;MA1498.2;MA0885.3;MA0896.2;MA0897.2;MA0898.2;MA1983.2,Nkx2-5;Hmx1;Hmx2;Hmx3;ISL2;ZNF582;DLX1;Dlx2;Dlx5;HOXA7;Dlx2;Hmx1;Hmx2;Hmx3;ZNF582,MA1476.2,15
42,MA0679.1;MA0754.1;MA0755.1;MA0756.1;MA0757.1;MA0679.2;MA2102.1;MA0680.2;MA0754.2;MA0756.2;MA0754.3;MA0755.2;MA0756.3;MA0679.3;MA0757.2,ONECUT1;CUX1;CUX2;ONECUT2;ONECUT3;ONECUT1;ZBTB17;Pax7;CUX1;ONECUT2;CUX1;CUX2;ONECUT2;ONECUT1;ONECUT3,MA2102.1,15
43,MA0465.1;MA0878.1;MA0899.1;MA0913.1;MA1473.1;MA0878.2;MA0913.2;MA0465.2;MA0878.3;MA0465.3;MA1473.2;MA0899.2;MA0913.3;MA2523.1;MA2595.1,CDX2;CDX1;HOXA10;Hoxd9;CDX4;CDX1;HOXD9;CDX2;CDX1;CDX2;CDX4;HOXA10;HOXD9;ZNF689;ZNF700,MA0878.2,15
44,MA0099.1;MA0099.2;MA0477.1;MA0478.1;MA1928.1;MA1988.1;MA0489.2;MA1988.2;MA1634.2;MA0462.3;MA0489.3;MA0835.3;MA1928.2;MA0478.2;MA2486.1,Fos::Jun;FOS::JUN;FOSL1;FOSL2;BNC2;Atf3;Jun;Atf3;BATF;BATF::JUN;Jun;BATF3;BNC2;FOSL2;Fosb,MA1634.2,15
45,MA1110.1;MA1146.1;MA1147.1;MA1535.1;MA1536.1;MA1538.1;MA1539.1;MA1110.2;MA2337.1;MA1996.2;MA1110.3;MA1146.2;MA1535.2;MA1536.2;MA1147.2,NR1H4;NR1H4::RXRA;NR4A2::RXRA;NR2C1;NR2C2;NR2F1;NR2F6;Nr1H4;Nr1h3;Nr1H2;Nr1H4;NR1H4::RXRA;NR2C1;NR2C2;NR4A2::RXRA,MA1110.2,15
46,MA0024.1;MA0469.2;MA0024.3;MA0864.1;MA0864.2;MA0469.3;MA0470.2;MA1727.1;MA2126.1;MA0864.3;MA0469.4;MA0470.3;MA1727.2;MA2535.1,E2F1;E2F3;E2F1;E2F2;E2F2;E2F3;E2F4;ZNF417;Zfp961;E2F2;E2F3;E2F4;ZNF417;MYPOP,MA0470.3,14
47,MA0132.1;MA0725.1;MA0726.1;MA0887.1;MA0888.1;MA0644.3;MA0889.2;MA0618.2;MA0701.3;MA0661.2;MA0710.2;MA0075.4;MA0725.2;MA0726.2,Pdx1;VSX1;VSX2;EVX1;EVX2;ESX1;GBX1;LBX1;LHX9;MEOX1;NOTO;PRRX2;VSX1;VSX2,MA0701.3,14
